id,message,date_created,story,sender,receiver,seen
1,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,3/7/2021 16:49,0,911,35,1
2,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,3/1/2021 15:51,1,821,541,0
3,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,3/6/2021 7:11,0,774,226,1
4,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,3/5/2021 18:45,0,298,365,0
5,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,3/7/2021 8:01,0,786,925,0
6,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,3/4/2021 23:13,1,75,538,0
7,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,3/4/2021 7:06,0,222,918,1
8,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,3/3/2021 11:53,1,819,987,1
9,morbi non quam nec dui luctus rutrum nulla tellus in sagittis,3/2/2021 18:58,0,273,469,0
10,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,3/7/2021 3:46,0,741,907,0
11,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,3/6/2021 19:42,0,66,138,0
12,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,3/2/2021 2:53,0,67,687,1
13,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,3/4/2021 12:33,0,193,774,1
14,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,3/1/2021 14:57,0,53,846,1
15,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,3/5/2021 22:58,1,610,192,0
16,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,3/1/2021 0:02,0,436,11,0
17,platea dictumst etiam faucibus cursus urna ut tellus nulla ut,3/1/2021 19:00,0,935,103,0
18,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,3/2/2021 16:43,1,773,461,0
19,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,3/8/2021 2:23,0,371,431,1
20,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,3/3/2021 10:08,1,685,857,0
21,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,3/1/2021 18:21,1,778,499,1
22,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,3/3/2021 13:21,1,872,725,0
